,state,county,votes_16,votes_clinton_16,votes_trump_16,votes_dem_12,votes_rep_12,dem16_pct,rep16_pct,dem12_pct,rep12_pct,margin_16
0,GA,Pike,8675,1239,7273,1356,6668,14.28242074927954,83.83861671469741,16.722160562338143,82.22962140831174,6034
0,GA,Tattnall,6879,1678,5092,1897,4706,24.39308038959151,74.022386974851,28.453577321133945,70.58647067646618,3414
0,GA,Montgomery,3560,847,2668,1135,2662,23.79213483146067,74.9438202247191,29.61899791231733,69.46764091858037,1821
0,GA,Gwinnett,323931,165063,146463,132509,159855,50.956222158422634,45.214258592107576,44.65672265509153,53.87257016526921,-18600
0,GA,Carroll,43744,12422,29983,12688,28280,28.397037307973665,68.54197147037307,30.537437724132953,68.06421333846784,17561
0,GA,Fulton,407173,281875,110372,255470,137124,69.22733088883595,27.106905418581288,64.28325193186937,34.50415562651448,-171503
0,GA,Evans,3602,1130,2404,1268,2268,31.371460299833426,66.74069961132703,35.587987650856014,63.654223968565816,1274
0,GA,Putnam,9431,2745,6516,2926,6215,29.106139327748913,69.0912946665253,31.728475384949036,67.39319019735416,3771
0,GA,Toombs,9108,2338,6612,2746,6524,25.669740887132193,72.59552042160738,29.387842465753423,69.82020547945206,4274
0,GA,Dawson,11680,1444,9880,1241,8847,12.363013698630137,84.58904109589042,12.114408434205389,86.36274892620071,8436
0,GA,Dodge,6995,1836,5021,2442,5214,26.24731951393853,71.77984274481773,31.57894736842105,67.42532005689901,3185
0,GA,Rabun,7949,1443,6287,1559,5754,18.15322682098377,79.09170964901246,20.88972263164947,77.10036178480505,4844
0,GA,Oconee,19030,5253,12885,4421,13098,27.603783499737254,67.70888071466106,24.813380479317505,73.51405960599428,7632
0,GA,Talbot,3243,2001,1196,2265,1202,61.702127659574465,36.87943262411347,64.88112288742481,34.431395015754795,-805
0,GA,Clay,1271,697,566,862,537,54.83870967741935,44.531864673485444,61.483594864479315,38.302425106990015,-131
0,GA,Stewart,2053,1220,805,1323,745,59.425231368728696,39.21091086215295,63.72832369942196,35.886319845857415,-415
0,GA,Grady,9187,3005,6047,3419,5924,32.70926308914771,65.82126918471754,36.38782460621541,63.04810557684121,3042
0,GA,Muscogee,68320,39602,26901,42573,27510,57.96545667447307,39.375,60.2991374304208,38.9643499568007,-12701
0,GA,Bulloch,24151,8812,14476,9593,14174,36.48710198335473,59.93954701668668,39.82976956611999,58.849906580859454,5664
0,GA,Pierce,7297,903,6301,1124,5667,12.374948609017403,86.35055502261203,16.418346479696172,82.77826468010517,5398
0,GA,Cherokee,110825,25203,80611,19841,76514,22.74125874125874,72.73719828558538,20.200570148645898,77.90063123600082,55408
0,GA,Harris,16392,4082,11931,4145,11197,24.902391410444118,72.78550512445095,26.762654958677683,72.29467975206612,7849
0,GA,Troup,25793,9597,15643,10547,15179,37.207769549877874,60.64823789400224,40.58723928269068,58.41222196567383,6046
0,GA,Randolph,2895,1597,1270,1770,1271,55.16407599309153,43.86873920552677,57.8809679529104,41.563113145846955,-327
0,GA,Lowndes,36813,14614,21308,17470,21327,39.69793279547986,57.881726563985545,44.6380662799908,54.49319058691265,6694
0,GA,Coffee,13896,4090,9575,5057,9248,29.43293033966609,68.90472078295913,34.98685484986855,63.98228863982288,5485
0,GA,Towns,6726,1206,5377,1273,4876,17.93041926851026,79.94350282485875,20.495894380937045,78.50587667042345,4171
0,GA,Echols,1175,156,1006,173,917,13.276595744680849,85.61702127659574,15.698729582577132,83.21234119782214,850
0,GA,Camden,18825,5914,12287,6377,11343,31.41567065073041,65.26958831341302,35.46126897625535,63.07623866985487,6373
0,GA,Catoosa,26510,4769,20860,5365,17858,17.989437947944168,78.68728781591852,22.65816369625813,75.42022130247487,16091
0,GA,Candler,3757,1023,2661,1157,2344,27.229172211871173,70.82778812882619,32.79478458049886,66.43990929705215,1638
0,GA,Jenkins,3034,1108,1892,1488,1887,36.519446275543835,62.35992089650626,43.89380530973451,55.663716814159294,784
0,GA,Cook,6038,1752,4175,2042,3935,29.016230539913877,69.14541238820802,33.85839827557619,65.24622782291493,2423
0,GA,Taliaferro,897,545,349,636,323,60.758082497212925,38.90746934225195,66.04361370716511,33.54101765316719,-196
0,GA,White,11771,1672,9751,1671,8651,14.204400645654575,82.83918103814459,15.9324942791762,82.48474446987034,8079
0,GA,Liberty,16082,9531,6125,10457,5565,59.265016788956586,38.086058947892056,64.6691403834261,34.41558441558442,-3406
0,GA,Morgan,9435,2658,6559,2753,6186,28.171701112877585,69.5177530471648,30.49739669879251,68.52775008308409,3901
0,GA,Jeff Davis,5089,901,4102,1275,3996,17.704853605816467,80.60522696011004,23.894302848575713,74.88755622188906,3201
0,GA,Gilmer,12713,1955,10465,1958,8926,15.377959568945174,82.31731298670653,17.770920312216372,81.01288800145217,8510
0,GA,Houston,59559,22460,35351,22702,34662,37.71050554911936,59.354589566648194,39.10362408708833,59.704423315419604,12891
0,GA,DeKalb,295871,239131,47531,238224,64392,80.82272341662413,16.06477147135069,77.78361876153005,21.024929391213494,-191600
0,GA,Walton,40425,8279,31093,8148,29036,20.479901051329623,76.91527520098948,21.663298947144526,77.19876635116452,22814
0,GA,Berrien,6563,1041,5408,1273,4843,15.86164863629438,82.40134085022093,20.528946944041284,78.1003064021932,4367
0,GA,Union,12039,1962,9849,2139,8773,16.297034637428357,81.80912035883378,19.306796642296238,79.18584709811356,7887
0,GA,Polk,14158,2863,11006,3615,9811,20.22178273767481,77.73696849837548,26.5652557319224,72.09729570840682,8143
0,GA,Wheeler,2102,646,1421,772,1366,30.73263558515699,67.60228353948621,35.74074074074074,63.24074074074074,775
0,GA,Worth,8266,2015,6144,2487,5869,24.376965884345513,74.32857488507138,29.54032545432949,69.71136714574178,4129
0,GA,Columbia,64190,18863,43060,16451,41765,29.386197226982397,67.08210001557875,27.919488145545884,70.88064083634575,24197
0,GA,Dougherty,33925,23224,10227,26295,11449,68.45689019896831,30.145910095799554,69.34518315356416,30.193306785516494,-12997
0,GA,Irwin,3659,890,2711,1141,2538,24.323585679147307,74.09128177097568,30.763008897276894,68.42814774871934,1821
0,GA,Dooly,3836,1860,1941,2285,1985,48.488008342022944,50.599582898852965,53.16426244765007,46.184271754304326,81
0,GA,Thomas,18730,7138,11225,7653,11156,38.10998398291511,59.93059263214096,40.37883184720097,58.861393974568664,4087
0,GA,Richmond,74952,48707,24441,52560,25845,64.98425659088484,32.608869676593024,66.51480637813212,32.70690964312833,-24266
0,GA,Clarke,44221,29514,12691,25431,13815,66.74204563442709,28.69903439542299,62.99791914387634,34.22265160523187,-16823
0,GA,Ware,12150,3436,8508,3900,7941,28.279835390946502,70.0246913580247,32.66605243320211,66.51310830052768,5072
0,GA,Marion,3183,1213,1921,1412,1733,38.10870248193528,60.351869305686456,44.542586750788644,54.66876971608833,708
0,GA,Early,4782,2165,2552,2765,2557,45.27394395650355,53.36679213718109,51.653278535400716,47.76760694937418,387
0,GA,Appling,7003,1434,5492,1758,5233,20.47693845494788,78.42353277166929,24.809483488569008,73.84984476432402,4058
0,GA,Ben Hill,5923,2098,3734,2512,3396,35.421239236873205,63.04237717372953,42.175957018132976,57.018132975151104,1636
0,GA,Henry,98037,49902,45641,43761,46774,50.90119036690229,46.55487214011036,47.8900829521329,51.18737551708289,-4261
0,GA,Wilkes,4470,1844,2569,2087,2635,41.25279642058165,57.47203579418344,43.835328712455365,55.34551564797312,725
0,GA,Jasper,6016,1544,4353,1845,4136,25.664893617021278,72.35704787234043,30.59194163488642,68.57900845630907,2809
0,GA,Lanier,2861,805,1984,1114,1820,28.137015029709893,69.34638238378189,37.48317631224764,61.238223418573355,1179
0,GA,Bryan,15063,4010,10513,3707,9560,26.621522936997945,69.79353382460334,27.555192150449713,71.0622166059615,6503
0,GA,Baker,1440,650,775,794,785,45.13888888888889,53.81944444444444,49.968533668974196,49.40213971050976,125
0,GA,Tift,12796,3892,8680,4660,9185,30.41575492341357,67.83369803063457,33.460185251669415,65.95103037265743,4788
0,GA,Burke,9350,4730,4491,5405,4301,50.588235294117645,48.032085561497325,55.271500153389916,43.98200224971879,-239
0,GA,Clinch,2443,685,1724,852,1598,28.039295947605403,70.56897257470324,34.46601941747573,64.64401294498381,1039
0,GA,Taylor,3402,1295,2062,1572,1948,38.065843621399175,60.6114050558495,44.43188241944602,55.05935556811758,767
0,GA,Elbert,7912,2507,5269,3181,4859,31.686046511627907,66.59504550050556,39.064226943386956,59.670882966965486,2762
0,GA,Jackson,27057,4469,21754,4238,19135,16.51698266622316,80.40063569501423,17.87883901451232,80.72477219034762,17285
0,GA,Jones,12524,3960,8304,4274,7744,31.619290961354203,66.3046949856276,35.30772408095828,63.973564642709626,4344
0,GA,Atkinson,2604,696,1873,930,1938,26.72811059907834,71.92780337941628,32.046864231564435,66.7815299793246,1177
0,GA,Bibb,58327,34383,22589,38585,25623,58.94868585732165,38.728204776518595,59.62019839920888,39.59176735993077,-11794
0,GA,Habersham,16128,2483,13184,2301,12166,15.395585317460316,81.74603174603175,15.716139607950277,83.0954169797145,10701
0,GA,Warren,2332,1313,991,1529,990,56.303602058319036,42.495711835334475,60.5304829770388,39.19239904988123,-322
0,GA,Franklin,8474,1243,7054,1499,6114,14.668397451026669,83.24286051451499,19.312032981190416,78.76835867044576,5811
0,GA,Greene,8831,3194,5488,3201,5071,36.16804438908391,62.14471747253991,38.459690015619366,60.92755016220113,2294
0,GA,Twiggs,4053,1970,2034,2270,1907,48.60597088576363,50.18504811250926,54.02189433603046,45.38315088053308,64
0,GA,Wilcox,2973,852,2096,1060,2053,28.65792129162462,70.5011772620249,33.87663790348354,65.61201661872803,1244
0,GA,Lee,14106,3166,10641,3196,10314,22.444349922019,75.43598468736707,23.45171705312592,75.68241855004403,7475
0,GA,Chattahoochee,1384,593,746,729,735,42.846820809248555,53.90173410404624,48.9261744966443,49.328859060402685,153
0,GA,Effingham,23395,4851,17865,4947,15596,20.735199829023294,76.36247061337893,23.765372790161415,74.92313604919293,13014
0,GA,Pickens,13982,1977,11651,1975,10547,14.139608067515377,83.32856529824059,15.57570977917981,83.1782334384858,9674
0,GA,Brantley,6285,619,5561,939,4964,9.84884645982498,88.48050914876691,15.644785071642787,82.70576474508498,4942
0,GA,Wilkinson,4276,1893,2332,2181,2246,44.27034611786716,54.53695042095417,49.01123595505618,50.47191011235955,439
0,GA,Paulding,64601,18004,44646,15825,40846,27.86953762325661,69.11038528815342,27.570166727643336,71.16151849335355,26642
0,GA,Douglas,57365,30971,24803,28441,26241,53.98936633835962,43.237165519044716,51.461088895724394,47.48041326650623,-6168
0,GA,Lamar,7575,2267,5183,2602,4899,29.927392739273927,68.42244224422443,34.27291886195996,64.52845100105374,2916
0,GA,Dade,6238,965,5047,1411,4471,15.469701827508816,80.90734209682591,23.438538205980066,74.26910299003322,4082
0,GA,Lumpkin,12324,2216,9613,2055,8647,17.98117494320026,78.00227198961376,18.844566712517192,79.29390187987163,7397
0,GA,Quitman,1044,461,575,612,510,44.157088122605366,55.07662835249042,54.25531914893617,45.21276595744681,114
0,GA,Clayton,89236,75908,11740,81479,14164,85.06432381550047,13.15612533058407,84.81476469547296,14.74387666940781,-64168
0,GA,Turner,3390,1243,2094,1510,2028,36.666666666666664,61.769911504424776,42.42764821579095,56.98229839842652,851
0,GA,Seminole,3577,1186,2343,1478,2245,33.156276209113784,65.50181716522225,39.21464579464049,59.56487131865216,1157
0,GA,Wayne,10376,2039,8147,2596,7557,19.651117964533537,78.51773323053199,25.279968838251047,73.5904177621969,6108
0,GA,Peach,10699,5083,5405,6148,5287,47.50911300121506,50.51874006916535,53.38659256686349,45.91003820771101,322
0,GA,Crisp,7500,2835,4539,3167,4182,37.8,60.519999999999996,42.82044348296377,56.544077879935095,1704
0,GA,Schley,1909,401,1472,448,1286,21.00576217915139,77.10843373493977,25.62929061784897,73.56979405034325,1071
0,GA,Sumter,10973,5520,5275,6375,5378,50.30529481454479,48.07254169324706,53.88386442397093,45.45685064660637,-245
0,GA,Calhoun,2023,1178,829,1298,883,58.23035096391498,40.978744438952056,59.32358318098721,40.356489945155396,-349
0,GA,Cobb,326424,159416,152602,133124,171722,48.837095311619244,46.749626252971595,42.92716273910408,55.373473151981834,-6814
0,GA,Chatham,106013,58998,43649,60246,47204,55.65166536179525,41.17325233697754,55.46083882608536,43.454726221600325,-15349
0,GA,Jefferson,6934,3809,3057,4261,2999,54.93221805595616,44.087107008941445,58.38585913949027,41.0934502603453,-752
0,GA,Newton,43787,21936,20907,21851,20982,50.097060771461855,47.74704821065613,50.54124069019753,48.5312485543785,-1029
0,GA,Terrell,4179,2267,1872,2544,1834,54.24742761426179,44.7954055994257,57.844474761255114,41.70077307867213,-395
0,GA,Chattooga,8246,1612,6457,2232,5452,19.548872180451127,78.30463254911473,28.534901559703403,69.70084377397086,4845
0,GA,Washington,8422,4187,4138,4714,4035,49.71503205889338,49.13322251246734,53.51952770208901,45.810626702997276,-49
0,GA,Haralson,11317,1474,9579,1789,8446,13.02465317663692,84.64257312008483,17.24171164225135,81.3993831919815,8105
0,GA,Fannin,11764,1920,9622,2028,7857,16.320979258755525,81.79190751445087,20.245582509733453,78.4366576819407,7702
0,GA,Baldwin,16075,7965,7691,8483,7589,49.548989113530325,47.84447900466563,52.24165537627786,46.736051237837174,-274
0,GA,Miller,2540,622,1888,852,1905,24.488188976377952,74.33070866141732,30.7027027027027,68.64864864864865,1266
0,GA,Bartow,39263,8204,29879,8396,26876,20.89499019433054,76.09963578942006,23.45120384336071,75.06843193117703,21675
0,GA,Butts,9477,2566,6717,2968,6306,27.07607892793078,70.87685976574866,31.63841807909605,67.22097857371281,4151
0,GA,Stephens,9760,1835,7682,2131,7221,18.80122950819672,78.70901639344262,22.436302379448307,76.02653190145294,5847
0,GA,McIntosh,5893,2298,3482,2864,3409,38.99541829288987,59.08705243509248,45.166377542974296,53.761236398044474,1184
0,GA,Coweta,61315,16572,42513,15168,39653,27.02764413275707,69.33539916822964,27.302673026730268,71.37611376113762,25941
0,GA,Pulaski,3598,1104,2436,1219,2444,30.68371317398555,67.70428015564202,33.10700706137968,66.37696903856599,1332
0,GA,Brooks,6268,2504,3679,3138,3554,39.948947032546265,58.694958519463945,46.5440522100267,52.71432809255414,1175
0,GA,Hall,70133,16153,51681,12999,47481,23.03195357392383,73.68998902086037,21.183430024118373,77.37598592008344,35528
0,GA,Webster,1114,471,630,582,601,42.28007181328546,56.552962298025136,49.03117101937658,50.631844987363095,159
0,GA,Hancock,3572,2695,841,3308,769,75.44792833146697,23.544232922732363,80.91976516634051,18.811154598825834,-1854
0,GA,Monroe,12675,3570,8821,3785,8361,28.165680473372777,69.59368836291914,30.830007330781132,68.10295674839129,5251
0,GA,Upson,10924,3471,7288,3959,7230,31.77407543024533,66.71548883192969,35.15049276391725,64.19248867974785,3817
0,GA,Heard,4206,743,3370,948,3160,17.66524013314313,80.12363290537327,22.722914669223393,75.74304889741131,2627
0,GA,Colquitt,13592,3460,9892,3973,9243,25.456150676868745,72.7781047675103,29.809423769507802,69.35024009603842,6432
0,GA,Forsyth,97314,23427,69801,14571,65908,24.073617362352795,71.72760342807818,17.827996720950434,80.64014878075638,46374
0,GA,Glascock,1390,138,1235,176,1135,9.928057553956835,88.84892086330936,13.203300825206302,85.14628657164292,1097
0,GA,Banks,6946,684,6130,780,5354,9.847394183702852,88.25223150014396,12.590799031477,86.42453591606134,5446
0,GA,Spalding,25940,9347,15636,9898,14911,36.0331534309946,60.277563608326915,39.453125,59.434789540816325,6289
0,GA,Long,4109,1356,2623,1442,2306,33.00073010464833,63.83548308590898,37.92740662809047,60.65228826933193,1267
0,GA,Fayette,60387,23255,35034,19736,38075,38.509944193286636,58.015798102240545,33.69758229750034,65.00990301871329,11779
0,GA,Mitchell,7857,3492,4272,4081,4155,44.44444444444444,54.371897670866744,49.31722054380664,50.21148036253776,780
0,GA,Telfair,3794,1313,2449,1805,2480,34.607274644175014,64.54928835002636,41.62822878228782,57.19557195571956,1136
0,GA,Crawford,5157,1419,3632,1706,3368,27.515997673065733,70.42854372697305,33.23592441067601,65.61465030196766,2213
0,GA,Charlton,4008,1004,2950,1197,2527,25.0499001996008,73.60279441117764,31.801275239107333,67.13602550478215,1946
0,GA,Bleckley,4934,1094,3717,1269,3587,22.17267936765302,75.33441426834212,25.861014876706744,73.09965355614429,2623
0,GA,Meriwether,9181,3800,5216,4331,4856,41.38982681625095,56.81298333514868,46.750863557858374,52.417962003454235,1416
0,GA,Hart,10077,2583,7285,2870,6517,25.632628758559093,72.29334127220403,30.175586163389763,68.52066028808747,4702
0,GA,Emanuel,7838,2433,5330,2927,5100,31.041081908650163,68.00204133707578,36.2118025485587,63.095385376716564,2897
0,GA,Johnson,3682,1136,2519,1305,2440,30.85279739272135,68.41390548614883,34.597030752916226,64.68716861081654,1383
0,GA,Whitfield,30362,7925,21514,7210,19305,26.101706079968384,70.85830972926685,26.826908766185444,71.82988539961303,13589
0,GA,Gordon,18850,3176,15171,3440,13197,16.848806366047743,80.48275862068965,20.358643546191633,78.10262176717761,11995
0,GA,Decatur,10238,4104,6009,4591,5824,40.08595428794686,58.69310412189881,43.7863614687649,55.54601812112542,1905
0,GA,Lincoln,4100,1271,2759,1586,2807,31.0,67.29268292682927,35.83370989606868,63.42069588793493,1488
0,GA,Treutlen,2700,860,1808,1074,1652,31.851851851851855,66.96296296296296,39.054545454545455,60.07272727272728,948
0,GA,Oglethorpe,6650,1829,4622,1914,4251,27.503759398496243,69.50375939849624,30.5117168818747,67.76661884265901,2793
0,GA,Glynn,34041,11738,21482,11950,20893,34.4819482388884,63.10625422284891,36.06676123502249,63.057978450487425,9744
0,GA,Barrow,28828,6580,21105,6028,18725,22.825031219647567,73.21007353961426,23.921584189848804,74.30850430572642,14525
0,GA,Murray,12422,1799,10340,2542,8443,14.482369988729674,83.23941394300435,22.662030846037265,75.26967995007577,8541
0,GA,Rockdale,37589,23206,13463,22023,15716,61.73614621298784,35.81632924525792,57.825915714848364,41.26559012734673,-9743
0,GA,Madison,11945,2423,9195,2494,8443,20.2846379238175,76.97781498534953,22.460374639769455,76.03566282420749,6772
0,GA,McDuffie,9268,3699,5432,4044,5475,39.91152352179543,58.610271903323266,42.16013344453711,57.07881567973311,1733
0,GA,Floyd,34250,9127,24045,9640,22733,26.648175182481754,70.2043795620438,29.36428158031009,69.24670261049681,14918
0,GA,Walker,23939,4213,18938,5274,16247,17.598897197042483,79.1094030661264,24.08659115820241,74.20076726342711,14725
0,GA,Macon,4287,2705,1540,3211,1545,63.097737345463024,35.922556566363426,67.1616816565572,32.31541518510772,-1165
0,GA,Laurens,19448,6737,12401,7513,11950,34.641094199917724,63.7649115590292,38.32381146704754,60.956947561722096,5664
0,GA,Bacon,4010,607,3356,791,3093,15.13715710723192,83.69077306733168,20.12210633426609,78.68226914271177,2749
0,GA,Screven,5699,2300,3305,2774,3287,40.35795753640989,57.99263028601509,45.47540983606557,53.885245901639344,1005
0,AZ,Maricopa,1201934,549040,590465,602288,749885,45.6797128627695,49.12624154071688,43.61374957547618,54.30175696744074,41425
0,AZ,Gila,21398,6746,13672,7697,13455,31.526310870174783,63.89382185250958,35.6425098402408,62.306089372539944,6926
0,AZ,La Paz,4931,1318,3381,1880,3714,26.72885824376394,68.5662137497465,32.781168265039234,64.76024411508283,2063
0,AZ,Santa Cruz,14926,10684,3650,9486,4235,71.57979364866675,24.453972933136807,68.19064050032348,30.443533894040687,-7034
0,AZ,Coconino,44929,25308,16573,29257,21220,56.328874446348685,36.88708851743863,56.30460721296332,40.83753512181979,-8735
0,AZ,Yuma,40759,18336,20586,18059,23352,44.98638337545082,50.50663657106406,42.9230147600599,55.50352957954032,2250
0,AZ,Graham,11939,3301,8025,3609,8076,27.64888181589748,67.21668481447357,30.314993700125996,67.83704325913482,4724
0,AZ,Navajo,35409,15362,18165,16945,19884,43.38445028100201,51.3005168177582,45.22888028826905,53.07353529961297,2803
0,AZ,Cochise,43147,15291,25036,18546,29497,35.43931211903492,58.024891649477375,37.694355805776304,59.95203349525416,9745
0,AZ,Mohave,74189,16485,54656,19533,49168,22.220275242960547,73.67129897963311,27.77414401092026,69.91241041974747,38171
0,AZ,Pinal,93805,35737,53857,44306,62079,38.09711635840307,57.413783913437456,40.766640290020426,57.11985425369427,18120
0,AZ,Pima,360762,195649,147019,201251,174779,54.23215305381387,40.752351966116166,52.522228862680834,45.61360012318196,-48630
0,AZ,Apache,18659,12196,5315,17147,8250,65.36255962270218,28.484913446594135,66.16120692981441,31.83238800787128,-6881
0,AZ,Yavapai,92780,29705,58862,33918,64468,32.01659840482863,63.44255227419703,33.69326591633803,64.04084754686242,29157
0,AZ,Greenlee,3243,1092,1892,1310,1592,33.672525439407956,58.34104224483503,43.87139986604153,53.31547220361688,800
0,PA,Huntingdon,19496,4487,14369,5409,11979,23.01497743126795,73.70229790726303,30.665003685016156,67.91201315267305,9882
0,PA,Greene,14955,4157,10394,5852,8428,27.796723503844866,69.50183884988299,40.459070796460175,58.26880530973452,6237
0,PA,Clearfield,32692,7700,23909,11121,20347,23.553162853297444,73.13410008564787,34.789001157443614,63.65001407701693,16209
0,PA,Montour,8535,2851,5274,3053,4652,33.40363210310486,61.79261862917399,38.98608096028604,59.40492912782531,2423
0,PA,Jefferson,18551,3437,14533,4787,13048,18.527303110344455,78.34079025389467,26.451898104658227,72.10034812399844,11096
0,PA,Perry,21153,4630,15613,5685,13120,21.888148253202854,73.80986148536851,29.72082810539523,68.590547887913,10983
0,PA,Union,17400,6138,10605,6109,9896,35.275862068965516,60.94827586206897,37.55224981558889,60.83107941971969,4467
0,PA,Forest,2398,626,1680,896,1383,26.10508757297748,70.05838198498749,38.75432525951557,59.818339100346016,1054
0,PA,Wyoming,12418,3573,8375,5061,6587,28.772749234981475,67.44242229022387,42.62971698113208,55.483490566037744,4802
0,PA,Lancaster,239151,90066,137145,88481,130669,37.66072481402963,57.34661364577192,39.778183387581144,58.744537754679996,47079
0,PA,Luzerne,132731,51454,77508,64307,58325,38.765623705087734,58.39479850223385,51.677528749025626,46.87035414942261,26054
0,PA,Mercer,49594,17631,30034,24232,25925,35.55067145219179,60.55974513045933,47.64170418575389,50.970253425869494,12403
0,PA,Berks,175934,75169,93094,83011,84702,42.725681221367104,52.914160992190254,48.73825739783936,49.73109441052137,17925
0,PA,Northumberland,34971,9184,24418,13072,19518,26.26175974378771,69.82356809928227,39.359267734553775,58.767915211369385,15234
0,PA,Lawrence,40555,13933,25323,17513,21047,34.35581309333004,62.44112933053877,44.86371554462548,53.916897223076134,11390
0,PA,Armstrong,30446,6849,22676,9045,20142,22.49556591998949,74.47940616172897,30.555367880548612,68.04269981757989,15827
0,PA,Erie,117240,54820,57168,68036,49025,46.758785397475265,48.76151484135107,57.35674723273675,41.32980382569403,2348
0,PA,Schuylkill,62750,16724,43937,24546,32278,26.65179282868526,70.0191235059761,42.52083080707468,55.914909834219685,27213
0,PA,Adams,47138,14077,31249,15091,26767,29.863379863379862,66.29258772115915,35.54419765880773,63.044963139176105,17172
0,PA,Franklin,69345,17322,49554,18995,43260,24.979450573220852,71.46009085009733,30.11351025714195,68.58175592124037,32232
0,PA,York,203153,67428,126933,73191,113304,33.190747859987304,62.48147947605992,38.678532360261904,59.87665738338204,59505
0,PA,Beaver,79036,30225,46081,37055,42344,38.242066906219954,58.30381092160535,46.04592787732684,52.618236946094385,15856
0,PA,Bucks,342572,165861,163873,160521,156579,48.41639129876347,47.836075335987765,50.004049642385425,48.77607346674309,-1988
0,PA,Philadelphia,680227,560542,105418,588806,96467,82.40513828471965,15.497473637476903,85.2937810631773,13.974102128411609,-455124
